id,name,email,phone,city,salary
1,Srinivas,srinivas@gmail.com,9876543210,Hyderabad,50000
2,Ravi,ravi@gmail.com,9876543211,Bengaluru,55000
3,Kiran,kiran@gmail.com,9876543212,Chennai,60000
4,Anjali,anjali@gmail.com,9876543213,Pune,52000
5,Priya,priya@gmail.com,9876543214,Mumbai,58000
6,Rahul,rahul@gmail.com,9876543215,Delhi,62000
7,Sneha,sneha@gmail.com,9876543216,Kolkata,54000
8,Arjun,arjun@gmail.com,9876543217,Hyderabad,57000
9,Divya,divya@gmail.com,9876543218,Vijayawada,51000
10,Vikram,vikram@gmail.com,9876543219,Visakhapatnam,59000
